CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0072,0.9696034184545225
C0001,C0055,0.9669272800112667
C0001,C0048,0.9648620181921322
C0002,C0029,0.9997472528017851
C0002,C0010,0.9741613268276842
C0002,C0062,0.9661555190456639
C0003,C0160,0.9202928720507704
C0003,C0166,0.9143943295235406
C0003,C0086,0.9143304304425007
C0004,C0075,0.9924257073254369
C0004,C0017,0.9904629690965318
C0004,C0175,0.9873169240407635
C0005,C0186,0.99747939163879
C0005,C0112,0.9961854197877743
C0005,C0140,0.9870870805042911
C0006,C0117,0.9960793034158099
C0006,C0168,0.9539375928398356
C0006,C0064,0.9093754029101696
C0007,C0120,0.9947113242111686
C0007,C0050,0.9868787030746328
C0007,C0005,0.9867264466983267
C0008,C0113,0.9348331429449989
C0008,C0124,0.915405085949236
C0008,C0065,0.8682431182249898
C0009,C0083,0.9963951701489819
C0009,C0198,0.9874192251489464
C0009,C0058,0.9751017349343015
C0010,C0029,0.9760054131917675
C0010,C0002,0.9741613268276842
C0010,C0176,0.9275997069356849
C0011,C0064,0.9871852958659717
C0011,C0137,0.9279888124637508
C0011,C0117,0.8968768285049565
C0012,C0104,0.9799945091884282
C0012,C0059,0.9671354448515807
C0012,C0113,0.9663334456550678
C0013,C0099,0.9884570466724008
C0013,C0143,0.9825683393197274
C0013,C0145,0.9765368721767201
C0014,C0060,0.9994504119775646
C0014,C0097,0.9992782693575551
C0014,C0128,0.9956968856490618
C0015,C0123,0.998929637565138
C0015,C0063,0.998408701328951
C0015,C0078,0.9946111347915229
C0016,C0183,0.9573835381901901
C0016,C0107,0.9499835308523947
C0016,C0056,0.8953665169495099
C0017,C0004,0.9904629690965318
C0017,C0175,0.9805114195298015
C0017,C0101,0.9803878711244227
C0018,C0153,0.9470854503807251
C0018,C0169,0.9441864407342068
C0018,C0171,0.9361821368346945
C0019,C0116,0.9749267479388065
C0019,C0174,0.8906144545794652
C0019,C0191,0.881744613242877
C0020,C0130,0.9985483849058819
C0020,C0095,0.9955601324843978
C0020,C0140,0.9905454890105259
